step	train/loss
0	1.238464117050171
1	1.1039223670959473
2	1.0542232990264893
3	1.0188604593276978
4	0.9812514185905457
5	0.9532927870750427
6	0.9332190155982971
7	0.9171910285949707
8	0.8956307172775269
9	0.881852924823761
10	0.8586826920509338
11	0.8473039865493774
12	0.8361750245094299
13	0.8231344819068909
14	0.8056508302688599
15	0.7904585599899292
16	0.773589551448822
17	0.7641069889068604
18	0.7467637658119202
19	0.7324054837226868
20	0.7235087752342224
21	0.7062639594078064
22	0.6957212686538696
23	0.6745480895042419
24	0.6665254831314087
