timestamp	step	train/accuracy
1664120333984	0	0.41097208857536316
1664120392328	1	0.4716073274612427
1664120450697	2	0.4923003017902374
1664120509118	3	0.5085418820381165
1664120567420	4	0.5255053043365479
1664120625703	5	0.5445139408111572
1664120683970	6	0.5593118667602539
1664120742409	7	0.574711263179779
1664120800568	8	0.591193437576294
1664120858668	9	0.6148941516876221
1664120916796	10	0.6180221438407898
1664120974279	11	0.6334215402603149
1664121042967	12	0.6413618922233582
1664121101062	13	0.6436477303504944
1664121158872	14	0.6500240564346313
1664121216847	15	0.6695139408111572
1664121275268	16	0.6767324209213257
1664121334100	17	0.6835899949073792
1664121392246	18	0.6909287571907043
1664121450544	19	0.7042829394340515
1664121508811	20	0.7112608551979065
1664121567348	21	0.7192011475563049
1664121625955	22	0.7248556017875671
1664121684395	23	0.7299085855484009
1664121742594	24	0.7395331859588623
