timestamp	step	train/loss
1664120333984	0	1.257944107055664
1664120392327	1	1.109906792640686
1664120450697	2	1.0576183795928955
1664120509118	3	1.0323121547698975
1664120567419	4	0.9913471341133118
1664120625703	5	0.9620341658592224
1664120683969	6	0.9360604286193848
1664120742408	7	0.9079792499542236
1664120800568	8	0.8832846879959106
1664120858668	9	0.857802152633667
1664120916796	10	0.8379510641098022
1664120974278	11	0.8185082674026489
1664121042967	12	0.8081988096237183
1664121101061	13	0.7959039807319641
1664121158872	14	0.781225323677063
1664121216847	15	0.759671151638031
1664121275267	16	0.7376986742019653
1664121334099	17	0.7318700551986694
1664121392246	18	0.7072142362594604
1664121450544	19	0.6911970376968384
1664121508810	20	0.6862444877624512
1664121567347	21	0.6670753955841064
1664121625954	22	0.6585883498191833
1664121684394	23	0.6461179256439209
1664121742594	24	0.6292842030525208
