timestamp	step	train/accuracy
1660183048834	0	0.4092431366443634
1660183060727	1	0.4588077664375305
1660183072628	2	0.44541192054748535
1660183084562	3	0.4413931667804718
1660183096458	4	0.46349629759788513
1660183108435	5	0.4802411198616028
1660183120516	6	0.5077025890350342
1660183132408	7	0.5311453342437744
1660183144337	8	0.5117213726043701
1660183156189	9	0.5378432869911194
1660183168117	10	0.5432016253471375
1660183180021	11	0.5418620109558105
1660183191942	12	0.5679839253425598
1660183204093	13	0.5572672486305237
1660183215915	14	0.578700602054596
1660183227663	15	0.5847287178039551
1660183239412	16	0.584058940410614
1660183251287	17	0.5974547863006592
1660183263126	18	0.6095110177993774
1660183275055	19	0.6075016856193542
1660183286934	20	0.6115204095840454
1660183299098	21	0.6255860328674316
1660183311229	22	0.6115204095840454
1660183323211	23	0.6182183623313904
1660183335668	24	0.6222370862960815
1660183347858	25	0.6363027095794678
1660183360024	26	0.6456798315048218
1660183372271	27	0.6463496088981628
1660183384399	28	0.6436704397201538
1660183396367	29	0.6443402171134949
1660183408598	30	0.6490287780761719
1660183420649	31	0.6363027095794678
1660183432653	32	0.6684527397155762
1660183444730	33	0.6503683924674988
1660183456860	34	0.6349631547927856
1660183468896	35	0.6758204698562622
1660183480864	36	0.6818485856056213
1660183492956	37	0.6831881999969482
1660183505121	38	0.6543871164321899
1660183517183	39	0.655056893825531
1660183529285	40	0.6704621315002441
1660183541265	41	0.6925653219223022
1660183553301	42	0.6711319088935852
1660183565346	43	0.6798392534255981
1660183577464	44	0.6945746541023254
1660183589460	45	0.7046215534210205
1660183601406	46	0.6945746541023254
1660183613477	47	0.7039517760276794
1660183625795	48	0.7260549068450928
1660183637811	49	0.7052913308143616
1660183649940	50	0.7139986753463745
1660183661929	51	0.7046215534210205
1660183673897	52	0.7133288383483887
1660183685998	53	0.7320830225944519
1660183698231	54	0.7267246842384338
1660183710422	55	0.7367715835571289
1660183722597	56	0.7441393136978149
1660183734597	57	0.7548559904098511
1660183746554	58	0.7635632753372192
1660183758563	59	0.7548559904098511
1660183770512	60	0.7736101746559143
1660183782636	61	0.7481580376625061
1660183794715	62	0.7642330527305603
1660183806726	63	0.7736101746559143
1660183818712	64	0.7655726671218872
1660183830868	65	0.7736101746559143
1660183842894	66	0.7782987356185913
1660183855026	67	0.7890154123306274
1660183867472	68	0.7963830828666687
1660183879667	69	0.7876757979393005
1660183891853	70	0.8004018664360046
1660183903855	71	0.8084393739700317
1660183915951	72	0.8057602047920227
1660183928140	73	0.8057602047920227
1660183940182	74	0.8057602047920227
1660183952222	75	0.7990622520446777
1660183964354	76	0.8077695965766907
1660183976417	77	0.827863335609436
1660183988477	78	0.8218352198600769
1660184000641	79	0.8238446116447449
1660184012713	80	0.8432685732841492
1660184024835	81	0.8352310657501221
1660184036929	82	0.8412591814994812
1660184049176	83	0.8412591814994812
1660184061403	84	0.8459477424621582
1660184073630	85	0.8472872972488403
1660184085827	86	0.8365706205368042
1660184097887	87	0.8452779650688171
1660184109972	88	0.8640321493148804
1660184122057	89	0.8633623719215393
1660184134099	90	0.8600133657455444
1660184146345	91	0.8653717041015625
1660184158543	92	0.8814467191696167
1660184170592	93	0.8720696568489075
1660184182640	94	0.8606832027435303
1660184194648	95	0.8673810958862305
1660184206898	96	0.8734092116355896
1660184218872	97	0.8961821794509888
1660184230875	98	0.8908238410949707
1660184243215	99	0.9035499095916748
