timestamp	step	train/loss
1661465965700	0	1.2582355737686157
1661466027411	1	1.097841501235962
1661466087608	2	1.0397534370422363
1661466147317	3	1.0105209350585938
1661466207073	4	0.98098224401474
1661466267566	5	0.9581175446510315
1661466328087	6	0.9346640110015869
1661466387855	7	0.9316368103027344
1661466448266	8	0.8996960520744324
1661466508802	9	0.8726180791854858
1661466569224	10	0.8684261441230774
1661466631293	11	0.835293710231781
1661466697105	12	0.8250682950019836
1661466762694	13	0.8006897568702698
1661466827680	14	0.7883313894271851
1661466891937	15	0.77036052942276
1661466956631	16	0.758119523525238
1661467020402	17	0.7436233162879944
1661467084644	18	0.7249866724014282
1661467148511	19	0.7143039703369141
1661467212488	20	0.7007160186767578
1661467276780	21	0.6906883716583252
1661467340847	22	0.667668342590332
1661467405261	23	0.6500859260559082
1661467469037	24	0.6444506645202637
1661467532626	25	0.6400965452194214
1661467596311	26	0.6241014003753662
1661467660012	27	0.6179327368736267
1661467723616	28	0.5990948677062988
1661467787360	29	0.6008222699165344
1661467851294	30	0.570941686630249
1661467915069	31	0.5609883666038513
1661467978562	32	0.5541893243789673
1661468042296	33	0.535065233707428
1661468105787	34	0.5303075313568115
1661468169654	35	0.5162239074707031
1661468233061	36	0.5059192180633545
1661468296986	37	0.48915618658065796
1661468360532	38	0.48367249965667725
1661468424169	39	0.46760061383247375
1661468487556	40	0.46766623854637146
1661468551257	41	0.45251205563545227
1661468614796	42	0.44304367899894714
1661468678636	43	0.4341948926448822
1661468742528	44	0.42266643047332764
1661468806042	45	0.41127049922943115
1661468870099	46	0.40483295917510986
1661468933694	47	0.38865360617637634
1661468997644	48	0.3834647536277771
1661469061523	49	0.3672240078449249
